Reaction_class	KO
RC00004	K00648
RC00004	K00649
RC00004	K00651
RC00004	K00652
RC00004	K00654
RC00004	K00655
RC00004	K00656
RC00004	K00657
RC00004	K00658
RC00004	K00659
RC00004	K00660
RC00004	K00664
RC00004	K00665
RC00004	K00667
RC00004	K00668
RC00004	K00669
RC00004	K00673
RC00004	K00674
RC00004	K00799
RC00004	K01067
RC00004	K01068
RC00004	K01069
RC00004	K01074
RC00004	K01075
RC00004	K01638
RC00004	K01641
RC00004	K01647
RC00004	K01648
RC00004	K01649
RC00004	K01655
RC00004	K01659
RC00004	K01759
RC00004	K01895
RC00004	K01896
RC00004	K01897
RC00004	K01899
RC00004	K01900
RC00004	K01902
RC00004	K01903
RC00004	K01904
RC00004	K01905
RC00004	K01906
RC00004	K01907
RC00004	K01908
RC00004	K01911
RC00004	K01912
RC00004	K01913
RC00004	K02182
RC00004	K02594
RC00004	K02614
RC00004	K02615
RC00004	K03400
RC00004	K03737
RC00004	K03821
RC00004	K03823
RC00004	K03896
RC00004	K04020
RC00004	K04021
RC00004	K04042
RC00004	K04072
RC00004	K04073
RC00004	K04097
RC00004	K04105
RC00004	K04110
RC00004	K04116
RC00004	K04709
RC00004	K04710
RC00004	K05283
RC00004	K05551
RC00004	K05552
RC00004	K05553
RC00004	K05605
RC00004	K05822
RC00004	K05942
RC00004	K06718
RC00004	K06864
RC00004	K07508
RC00004	K07509
RC00004	K07513
RC00004	K07549
RC00004	K07550
RC00004	K07823
RC00004	K08243
RC00004	K08295
RC00004	K08692
RC00004	K08748
RC00004	K08764
RC00004	K08765
RC00004	K08766
RC00004	K09011
RC00004	K09460
RC00004	K09699
RC00004	K09753
RC00004	K10203
RC00004	K10205
RC00004	K10244
RC00004	K10245
RC00004	K10246
RC00004	K10247
RC00004	K10248
RC00004	K10249
RC00004	K10250
RC00004	K10804
RC00004	K10805
RC00004	K10806
RC00004	K10817
RC00004	K10852
RC00004	K10977
RC00004	K11067
RC00004	K11155
RC00004	K11156
RC00004	K11160
RC00004	K11533
RC00004	K11992
RC00004	K12073
RC00004	K12632
RC00004	K12644
RC00004	K12694
RC00004	K12698
RC00004	K12699
RC00004	K12747
RC00004	K12910
RC00004	K12923
RC00004	K12925
RC00004	K12926
RC00004	K12931
RC00004	K12932
RC00004	K12934
RC00004	K12935
RC00004	K12936
RC00004	K13018
RC00004	K13065
RC00004	K13231
RC00004	K13232
RC00004	K13233
RC00004	K13234
RC00004	K13264
RC00004	K13299
RC00004	K13356
RC00004	K13393
RC00004	K13506
RC00004	K13507
RC00004	K13508
RC00004	K13509
RC00004	K13510
RC00004	K13511
RC00004	K13512
RC00004	K13513
RC00004	K13514
RC00004	K13515
RC00004	K13516
RC00004	K13517
RC00004	K13519
RC00004	K13523
RC00004	K13610
RC00004	K13776
RC00004	K13788
RC00004	K13922
RC00004	K13923
RC00004	K13935
RC00004	K14067
RC00004	K14138
RC00004	K14329
RC00004	K14371
RC00004	K14417
RC00004	K14451
RC00004	K14456
RC00004	K14457
RC00004	K14458
RC00004	K14466
RC00004	K14467
RC00004	K14468
RC00004	K14469
RC00004	K14674
RC00004	K14681
RC00004	K14682
RC00004	K14747
RC00004	K14760
RC00004	K15013
RC00004	K15017
RC00004	K15018
RC00004	K15023
RC00004	K15024
RC00004	K15038
RC00004	K15230
RC00004	K15231
RC00004	K15232
RC00004	K15233
RC00004	K15316
RC00004	K15320
RC00004	K15397
RC00004	K15400
RC00004	K15406
RC00004	K15431
RC00004	K15517
RC00004	K15574
RC00004	K15575
RC00004	K15741
RC00004	K15742
RC00004	K15791
RC00004	K15866
RC00004	K15896
RC00004	K15913
RC00004	K15988
RC00004	K16000
RC00004	K16001
RC00004	K16002
RC00004	K16003
RC00004	K16007
RC00004	K16023
RC00004	K16036
RC00004	K16339
RC00004	K16424
RC00004	K16425
RC00004	K16426
RC00004	K16427
RC00004	K16876
RC00004	K16880
RC00004	K17054
RC00004	K17211
RC00004	K17212
RC00004	K17360
RC00004	K17748
RC00004	K17939
RC00004	K18000
RC00004	K18001
RC00004	K18002
RC00004	K18119
RC00004	K18309
RC00004	K18317
RC00004	K18355
RC00004	K18356
RC00004	K18357
RC00004	K18358
RC00004	K18359
RC00004	K18360
RC00004	K18361
RC00004	K18362
RC00004	K18363
RC00004	K18366
RC00004	K18473
RC00004	K18566
RC00004	K18583
RC00004	K18593
RC00004	K18594
RC00004	K18660
RC00004	K18661
RC00004	K18662
RC00004	K18687
RC00004	K18851
RC00004	K18852
RC00004	K18858
RC00004	K18861
RC00004	K19007
RC00004	K19107
RC00004	K19113
RC00004	K19184
RC00004	K19222
RC00004	K19282
RC00004	K19523
RC00004	K19524
RC00004	K19580
RC00004	K19726
RC00004	K20034
RC00004	K20036
RC00004	K20422
RC00004	K20423
RC00004	K20458
RC00004	K20503
RC00004	K20508
RC00004	K20681
RC00004	K20838
RC00004	K20981
RC00004	K20982
RC00004	K21191
RC00004	K21225
RC00004	K21383
RC00004	K21425
RC00004	K21934
RC00004	K22133
RC00004	K22224
RC00004	K22311
RC00004	K22317
RC00004	K22450
RC00004	K22476
RC00004	K22477
RC00004	K22478
RC00004	K22554
RC00004	K22586
RC00004	K22797
RC00004	K22831
RC00004	K22842
RC00004	K22848
RC00004	K22849
RC00004	K22881
RC00004	K23304
RC00005	K00693
RC00005	K00694
RC00005	K00695
RC00005	K00696
RC00005	K00697
RC00005	K00698
RC00005	K00699
RC00005	K00703
RC00005	K00704
RC00005	K00706
RC00005	K00720
RC00005	K00721
RC00005	K00728
RC00005	K00729
RC00005	K00741
RC00005	K00747
RC00005	K00748
RC00005	K00750
RC00005	K00770
RC00005	K01971
RC00005	K01972
RC00005	K02563
RC00005	K03276
RC00005	K03278
RC00005	K03279
RC00005	K03280
RC00005	K03419
RC00005	K03429
RC00005	K03715
RC00005	K04341
RC00005	K04628
RC00005	K05364
RC00005	K05365
RC00005	K05780
RC00005	K05947
RC00005	K06119
RC00005	K06164
RC00005	K06165
RC00005	K06166
RC00005	K07151
RC00005	K07264
RC00005	K07468
RC00005	K07553
RC00005	K07966
RC00005	K07967
RC00005	K07970
RC00005	K07971
RC00005	K09480
RC00005	K09654
RC00005	K09658
RC00005	K09659
RC00005	K09667
RC00005	K10012
RC00005	K10747
RC00005	K10757
RC00005	K10776
RC00005	K10777
RC00005	K11703
RC00005	K11820
RC00005	K12338
RC00005	K12356
RC00005	K12409
RC00005	K12582
RC00005	K12695
RC00005	K12711
RC00005	K12712
RC00005	K12930
RC00005	K12933
RC00005	K12937
RC00005	K12939
RC00005	K13030
RC00005	K13057
RC00005	K13058
RC00005	K13068
RC00005	K13078
RC00005	K13080
RC00005	K13227
RC00005	K13235
RC00005	K13263
RC00005	K13269
RC00005	K13492
RC00005	K13493
RC00005	K13494
RC00005	K13495
RC00005	K13496
RC00005	K13499
RC00005	K13500
RC00005	K13550
RC00005	K13556
RC00005	K13646
RC00005	K13648
RC00005	K13657
RC00005	K13658
RC00005	K13659
RC00005	K13677
RC00005	K13678
RC00005	K13679
RC00005	K14136
RC00005	K14367
RC00005	K14368
RC00005	K14375
RC00005	K14595
RC00005	K14596
RC00005	K15774
RC00005	K15775
RC00005	K15776
RC00005	K15787
RC00005	K15897
RC00005	K15914
RC00005	K15936
RC00005	K15937
RC00005	K15938
RC00005	K15939
RC00005	K15946
RC00005	K15947
RC00005	K15948
RC00005	K15951
RC00005	K15952
RC00005	K15960
RC00005	K15961
RC00005	K15962
RC00005	K15964
RC00005	K15965
RC00005	K15989
RC00005	K15990
RC00005	K15993
RC00005	K15994
RC00005	K15997
RC00005	K15998
RC00005	K16004
RC00005	K16005
RC00005	K16009
RC00005	K16010
RC00005	K16039
RC00005	K16055
RC00005	K16148
RC00005	K16150
RC00005	K16153
RC00005	K16266
RC00005	K16443
RC00005	K16870
RC00005	K17193
RC00005	K18134
RC00005	K18207
RC00005	K18429
RC00005	K18818
RC00005	K18819
RC00005	K19002
RC00005	K19003
RC00005	K19004
RC00005	K19290
RC00005	K19291
RC00005	K19566
RC00005	K19698
RC00005	K20573
RC00005	K20578
RC00005	K20582
RC00005	K20589
RC00005	K20812
RC00005	K21259
RC00005	K21260
RC00005	K21262
RC00005	K21263
RC00005	K21354
RC00005	K21371
RC00005	K21373
RC00005	K21374
RC00005	K22426
RC00005	K22706
RC00005	K22771
RC00005	K22772
RC00005	K22794
RC00005	K22845
RC00005	K22950
RC00005	K23260
RC00005	K23261
RC00006	K00260
RC00006	K00261
RC00006	K00262
RC00006	K00263
RC00006	K00264
RC00006	K00265
RC00006	K00266
RC00006	K00270
RC00006	K00272
RC00006	K00273
RC00006	K00278
RC00006	K00284
RC00006	K00285
RC00006	K00811
RC00006	K00812
RC00006	K00813
RC00006	K00814
RC00006	K00815
RC00006	K00816
RC00006	K00817
RC00006	K00818
RC00006	K00819
RC00006	K00821
RC00006	K00823
RC00006	K00824
RC00006	K00825
RC00006	K00826
RC00006	K00827
RC00006	K00830
RC00006	K00831
RC00006	K00832
RC00006	K00833
RC00006	K00836
RC00006	K00837
RC00006	K00838
RC00006	K00840
RC00006	K00841
RC00006	K03334
RC00006	K03340
RC00006	K03918
RC00006	K05821
RC00006	K05825
RC00006	K05830
RC00006	K05957
RC00006	K07250
RC00006	K07806
RC00006	K08969
RC00006	K09251
RC00006	K10206
RC00006	K11358
RC00006	K12252
RC00006	K13010
RC00006	K13017
RC00006	K13290
RC00006	K13308
RC00006	K13310
RC00006	K13329
RC00006	K13524
RC00006	K13547
RC00006	K13553
RC00006	K14260
RC00006	K14264
RC00006	K14265
RC00006	K14267
RC00006	K14268
RC00006	K14272
RC00006	K14287
RC00006	K14454
RC00006	K14455
RC00006	K15371
RC00006	K15372
RC00006	K15785
RC00006	K15849
RC00006	K15895
RC00006	K15910
RC00006	K16016
RC00006	K16423
RC00006	K16436
RC00006	K16903
RC00006	K18653
RC00006	K19549
RC00006	K19562
RC00006	K19744
RC00006	K19746
RC00006	K19854
RC00006	K20428
RC00006	K20429
RC00006	K20567
RC00006	K20568
RC00006	K20572
RC00006	K20591
RC00006	K20596
RC00006	K20597
RC00006	K20680
RC00006	K21328
RC00006	K21346
RC00006	K22457
RC00006	K22598
RC00007	K00390
RC00007	K00394
RC00007	K00395
RC00007	K01014
RC00007	K01015
RC00007	K01016
RC00007	K01017
RC00007	K01019
RC00007	K01020
RC00007	K04742
RC00007	K04743
RC00007	K05907
RC00007	K07779
RC00007	K08105
RC00007	K08106
RC00007	K11821
RC00007	K11822
RC00007	K13270
RC00007	K13271
RC00007	K16949
RC00007	K18571
RC00007	K22312
RC00007	K22321
RC00007	K22966
RC00008	K00259
RC00008	K00814
RC00008	K00822
RC00008	K00824
RC00008	K00827
RC00008	K00830
RC00008	K00835
RC00008	K03430
RC00008	K03851
RC00008	K05821
RC00008	K09469
RC00008	K12252
RC00008	K12256
RC00008	K13290
RC00008	K14260
RC00008	K14272
RC00008	K16871
RC00008	K16903
RC00008	K18608
RC00008	K19244
RC00008	K19793
RC00009	K02527
RC00010	K00264
RC00010	K00265
RC00010	K00266
RC00010	K00284
RC00010	K00764
RC00010	K00820
RC00010	K01424
RC00010	K01425
RC00010	K01426
RC00010	K01506
RC00010	K01656
RC00010	K01657
RC00010	K01658
RC00010	K01663
RC00010	K01664
RC00010	K01665
RC00010	K01914
RC00010	K01915
RC00010	K01937
RC00010	K01950
RC00010	K01951
RC00010	K01952
RC00010	K01953
RC00010	K01954
RC00010	K01955
RC00010	K01956
RC00010	K02224
RC00010	K02232
RC00010	K02433
RC00010	K02434
RC00010	K02435
RC00010	K02500
RC00010	K02501
RC00010	K03330
RC00010	K03342
RC00010	K03865
RC00010	K05597
RC00010	K06215
RC00010	K08590
RC00010	K08681
RC00010	K09482
RC00010	K11540
RC00010	K11541
RC00010	K13051
RC00010	K13063
RC00010	K13497
RC00010	K13501
RC00010	K13503
RC00010	K13566
RC00010	K13950
RC00010	K14244
RC00010	K14662
RC00010	K20159
RC00010	K21175
RC00010	K21286
RC00010	K21801
RC00010	K23264
RC00010	K23265
RC00010	K23269
RC00010	K23270
RC00011	K00125
RC00011	K00310
RC00011	K00383
RC00011	K00399
RC00011	K00401
RC00011	K00402
RC00011	K00432
RC00011	K03388
RC00011	K03389
RC00011	K03390
RC00011	K03423
RC00011	K05360
RC00011	K05361
RC00011	K08264
RC00011	K08265
RC00011	K14126
RC00011	K14127
RC00011	K14128
RC00011	K21888
RC00011	K22480
RC00011	K22481
RC00011	K22482
RC00011	K22516
RC00012	K01026
RC00012	K01034
RC00012	K01035
RC00012	K01039
RC00012	K01040
RC00012	K01067
RC00012	K01895
RC00012	K01905
RC00012	K01910
RC00012	K01913
RC00012	K13929
RC00012	K18118
RC00012	K18122
RC00012	K18288
RC00012	K19709
RC00012	K22224
RC00013	K00384
RC00013	K00527
RC00013	K05360
RC00014	K00665
RC00014	K01026
RC00014	K01027
RC00014	K01028
RC00014	K01029
RC00014	K01031
RC00014	K01032
RC00014	K01034
RC00014	K01035
RC00014	K01068
RC00014	K01071
RC00014	K01074
RC00014	K01895
RC00014	K01896
RC00014	K01897
RC00014	K01899
RC00014	K01900
RC00014	K01902
RC00014	K01903
RC00014	K01905
RC00014	K01906
RC00014	K01907
RC00014	K01908
RC00014	K01909
RC00014	K01911
RC00014	K01912
RC00014	K02182
RC00014	K02614
RC00014	K05605
RC00014	K05939
RC00014	K07543
RC00014	K07544
RC00014	K08298
RC00014	K08692
RC00014	K08748
RC00014	K10526
RC00014	K10781
